Request_ID,Staff_ID,Current_Status,Created_At,Last_Updated
1,140880,Pending,2024-10-03,2024-11-09
2,151596,Approved,2024-06-11,2024-10-01
3,180019,Pending,2024-03-11,2024-05-03
4,140880,Approved,2024-04-02,2024-07-06
5,180005,Pending,2024-03-03,2024-03-10
6,151058,Rejected,2024-09-26,2024-10-25
7,140008,Approved,2024-09-01,2024-12-30
8,190058,Rejected,2024-02-24,2024-03-12
9,151476,Rejected,2024-01-14,2024-09-16
10,190068,Rejected,2024-10-01,2024-11-14
11,151531,Pending,2024-09-04,2024-10-10
12,210024,Pending,2024-09-21,2024-10-27
13,151560,Rejected,2024-01-17,2024-05-04
14,180025,Pending,2024-03-13,2024-07-18
15,190008,Approved,2024-09-07,2024-09-26
16,151465,Rejected,2024-02-24,2024-12-17
17,151518,Rejected,2024-06-18,2024-08-25
18,151470,Pending,2024-08-22,2024-10-05
19,210030,Pending,2024-10-12,2024-11-18
20,150422,Approved,2024-02-13,2024-02-27
21,160075,Approved,2024-06-12,2024-12-06
22,150276,Pending,2024-06-29,2024-09-19
23,140910,Approved,2024-03-01,2024-08-20
24,151505,Rejected,2024-02-23,2024-12-28
25,151540,Rejected,2024-06-06,2024-11-26
26,151517,Pending,2024-01-14,2024-05-02
27,190043,Pending,2024-06-26,2024-07-28
28,140882,Pending,2024-04-07,2024-08-22
29,180033,Rejected,2024-03-04,2024-07-01
30,150976,Pending,2024-01-02,2024-04-23
31,190043,Pending,2024-01-25,2024-03-23
32,160334,Pending,2024-01-14,2024-02-20
33,150193,Rejected,2024-04-18,2024-09-05
34,190016,Approved,2024-01-28,2024-10-18
35,170215,Approved,2024-03-28,2024-07-22
36,151450,Rejected,2024-03-15,2024-06-11
37,190076,Pending,2024-08-29,2024-11-27
38,210041,Pending,2024-03-09,2024-08-23
39,190057,Approved,2024-08-26,2024-09-28
40,150245,Approved,2024-03-25,2024-04-09
41,190068,Rejected,2024-06-23,2024-07-29
42,170655,Approved,2024-07-18,2024-08-05
43,150245,Approved,2024-01-12,2024-01-13
44,180021,Approved,2024-06-01,2024-10-02
45,180013,Rejected,2024-02-21,2024-04-28
46,151593,Approved,2024-02-29,2024-12-06
47,190021,Approved,2024-03-02,2024-09-06
48,151502,Pending,2024-05-29,2024-07-14
49,160336,Approved,2024-07-26,2024-08-24
50,190021,Pending,2024-02-25,2024-11-16
