Request_ID,Staff_ID,Current_Status,Created_At,Last_Updated,Request_Reason,Manager_Reason,Document,User_Seen,Manager_Seen
1,151055,Pending,2024-11-03,2024-11-03,Better concentration and productivity.,,[],True,True
2,151411,Pending,2024-11-03,2024-11-03,Quiet environment for focused work.,,[],True,True
3,150512,Approved,2024-11-03,2024-11-03,Focused work environment at home.,,[],True,True
4,190030,Approved,2024-11-03,2024-11-03,Slight illness but can still work.,,[],True,True
5,151436,Approved,2024-11-03,2024-11-03,Prefer the home office setup.,,[],True,True
6,140889,Approved,2024-11-03,2024-11-03,Focused work environment at home.,,[],True,True
7,160287,Approved,2024-11-03,2024-11-03,Online training or conference.,,[],True,True
8,150938,Approved,2024-11-03,2024-11-03,Focused work environment at home.,,[],True,True
9,140036,Approved,2024-11-03,2024-11-03,No commute allows for earlier start.,,[],True,True
10,151483,Rejected,2024-11-03,2024-11-03,Increased efficiency at home.,Company policy does not allow WFH on this day.,[],True,True
11,190070,Pending,2024-11-03,2024-11-03,More comfortable working from home.,,[],True,True
12,210033,Approved,2024-11-03,2024-11-03,More time for family or personal life.,,[],True,True
13,140004,Approved,2024-11-03,2024-11-03,Flexibility for appointments or deliveries.,,[],True,True
14,151432,Approved,2024-11-03,2024-11-03,Better concentration and productivity.,,[],True,True
15,151545,Approved,2024-11-03,2024-11-03,No commute allows for earlier start.,,[],True,True
16,151464,Approved,2024-11-03,2024-11-03,Better concentration and productivity.,,[],True,True
17,151407,Approved,2024-11-03,2024-11-03,Better work-life balance.,,[],True,True
18,151575,Approved,2024-11-03,2024-11-03,Can work during off-peak hours.,,[],True,True
19,140901,Pending,2024-11-03,2024-11-03,Increased efficiency at home.,,[],True,True
20,150318,Pending,2024-11-03,2024-11-03,More comfortable working from home.,,[],True,True
21,150138,Approved,2024-11-03,2024-11-03,Online training or conference.,,[],True,True
22,151447,Approved,2024-11-03,2024-11-03,Can work during off-peak hours.,,[],True,True
23,151416,Approved,2024-11-03,2024-11-03,Home maintenance or repairs.,,[],True,True
24,180003,Approved,2024-11-03,2024-11-03,Fewer distractions at home.,,[],True,True
25,151469,Approved,2024-11-03,2024-11-03,Better work-life balance.,,[],True,True
26,151610,Approved,2024-11-03,2024-11-03,Prefer the home office setup.,,[],True,True
