Request_ID,Date,WFH_Type
1,2024-10-14,PM
2,2024-09-19,AM
2,2024-09-20,AM
3,2024-11-06,WD
4,2024-09-16,PM
5,2024-08-17,WD
5,2024-08-18,WD
5,2024-08-19,WD
6,2024-06-20,AM
7,2025-01-13,WD
7,2025-01-14,PM
7,2025-01-15,AM
8,2024-06-15,PM
8,2024-06-16,AM
8,2024-06-17,AM
9,2024-06-20,WD
10,2024-08-14,WD
11,2024-10-11,WD
11,2024-10-12,AM
12,2024-10-02,PM
12,2024-10-03,WD
13,2024-07-27,AM
13,2024-07-28,WD
14,2025-02-07,AM
14,2025-02-08,PM
15,2024-09-04,WD
15,2024-09-05,WD
15,2024-09-06,WD
16,2024-10-31,PM
16,2024-11-01,WD
17,2024-07-06,PM
17,2024-07-07,WD
17,2024-07-08,PM
17,2024-07-09,PM
18,2024-08-03,PM
18,2024-08-04,WD
18,2024-08-05,WD
19,2024-11-22,PM
19,2024-11-23,WD
19,2024-11-24,WD
20,2025-02-17,WD
21,2024-08-02,AM
21,2024-08-03,WD
21,2024-08-04,AM
21,2024-08-05,AM
22,2024-10-09,AM
23,2024-10-30,AM
23,2024-10-31,AM
23,2024-11-01,AM
24,2024-12-22,WD
24,2024-12-23,AM
24,2024-12-24,AM
24,2024-12-25,AM
25,2024-08-15,AM
26,2024-09-25,WD
26,2024-09-26,WD
26,2024-09-27,PM
26,2024-09-28,PM
27,2024-11-29,WD
27,2024-11-30,PM
27,2024-12-01,AM
28,2024-10-09,WD
28,2024-10-10,PM
28,2024-10-11,AM
28,2024-10-12,WD
29,2024-11-07,WD
29,2024-11-08,WD
29,2024-11-09,AM
30,2024-06-03,WD
30,2024-06-04,WD
31,2024-10-24,WD
31,2024-10-25,PM
31,2024-10-26,WD
32,2024-12-10,AM
33,2024-08-24,AM
33,2024-08-25,AM
34,2024-12-11,PM
34,2024-12-12,AM
34,2024-12-13,WD
35,2024-08-08,AM
36,2024-11-01,PM
37,2024-11-13,PM
37,2024-11-14,AM
37,2024-11-15,PM
37,2024-11-16,PM
38,2024-12-15,WD
39,2024-08-30,WD
40,2024-10-03,WD
41,2025-02-17,AM
41,2025-02-18,WD
42,2024-08-29,AM
42,2024-08-30,AM
42,2024-08-31,WD
42,2024-09-01,WD
43,2024-09-13,AM
44,2025-01-22,WD
44,2025-01-23,WD
44,2025-01-24,WD
44,2025-01-25,AM
45,2024-09-01,PM
46,2024-07-25,PM
